ENTITY_ID,Operator,12 Month Cum BOE (20:1),Lat,Long,Bakken, Lateral Length ,Slickwater,"Proppant, mmlbs","Fluid, mbbl"
128545259,Kaiser-Francis,"89,000",48.1,-102.5,1," 12,186 ",0, 2.2 , 31.1 
128593394,Hess,"77,000",48.0,-102.8,1," 10,198 ",0, 1.9 , 37.0 
126325025,Zavanna,"24,000",48.1,-103.4,1," 9,220 ",1, 1.7 , 93.4 
128335433,Hess,"112,000",48.1,-103.3,1," 10,011 ",0, 1.9 , 36.1 
128261402,XTO,"102,000",48.0,-102.9,0," 4,152 ",0, 0.8 , 39.0 
128275682,Hess,"63,000",48.2,-102.6,1," 8,277 ",0, 1.5 , 32.5 
128226187,Whiting,"62,000",48.2,-102.4,0," 10,136 ",0, 1.9 , 27.3 
128575344,Hess,"62,000",48.1,-102.7,1," 8,938 ",0, 1.7 , 33.9 
128943879,Hess,"76,000",48.2,-102.8,1," 10,095 ",0, 1.9 , 40.8 
129014760,Oasis,"70,000",48.1,-102.6,0," 9,539 ",0, 1.8 , 78.4 
128545272,Hess,"119,000",47.9,-102.9,1," 10,007 ",0, 1.9 , 34.0 
128200040,SM Energy,"180,000",47.7,-102.9,1," 10,113 ",0, 1.9 , 49.6 
128561643,Hess,"85,000",48.1,-103.3,1," 10,610 ",0, 2.0 , 34.7 
129027254,Hess,"76,000",48.3,-102.7,0," 9,385 ",0, 1.8 , 38.7 
128226109,Hess,"59,000",48.2,-102.6,1," 8,393 ",0, 1.6 , 52.5 
128275412,Whiting,"108,000",48.2,-102.5,0," 10,174 ",0, 1.9 , 29.5 
128611260,Hess,"55,000",48.2,-102.6,0," 11,582 ",0, 2.2 , 39.2 
128575033,Hess,"122,000",48.2,-102.7,0," 9,911 ",0, 1.9 , 37.5 
128243556,Whiting,"70,000",48.1,-102.6,0," 9,679 ",0, 1.8 , 26.8 
128594016,Hess,"150,000",48.0,-102.8,1," 9,910 ",0, 1.9 , 36.5 
129026907,Continental,"83,000",47.5,-102.8,1," 10,224 ",0, 1.9 , 61.1 
128261284,Whiting,"53,000",48.0,-102.4,0," 8,761 ",0, 1.7 , 24.8 
128226619,Whiting,"47,000",48.1,-102.6,0," 9,785 ",0, 1.9 , 31.2 
128261744,Hess,"90,000",48.2,-102.6,1," 9,847 ",0, 1.9 , 36.5 
128212904,Whiting,"83,000",48.0,-102.5,0," 9,702 ",0, 1.9 , 26.9 
128349225,Hess,"98,000",48.2,-102.8,0," 9,986 ",0, 1.9 , 39.4 
128212906,Whiting,"117,000",48.0,-102.5,0," 9,389 ",0, 1.8 , 24.9 
128212892,Whiting,"79,000",48.0,-102.4,0," 8,682 ",0, 1.7 , 25.8 
128545619,Hess,"93,000",48.2,-102.7,1," 10,143 ",0, 1.9 , 32.2 
128914495,ConocoPhillips,"126,000",48.0,-103.0,0," 10,497 ",0, 2.0 , 27.6 
128275203,Hess,"84,000",47.6,-103.0,0," 9,575 ",0, 1.8 , 47.0 
128349337,Hess,"72,000",48.3,-102.8,1," 9,921 ",0, 1.9 , 35.8 
128359896,Whiting,"60,000",48.1,-102.6,0," 7,738 ",0, 1.5 , 25.0 
128667036,XTO,"84,000",47.8,-103.2,1," 9,150 ",0, 1.8 , 48.5 
128213439,Whiting,"65,000",48.0,-102.5,0," 8,295 ",0, 1.6 , 25.6 
128275468,Whiting,"54,000",48.2,-102.5,0," 8,542 ",0, 1.6 , 32.2 
128213005,Whiting,"104,000",48.0,-102.5,0," 9,316 ",0, 1.8 , 26.8 
129014612,Hess,"137,000",48.0,-102.9,1," 10,988 ",0, 2.1 , 31.3 
128479894,Whiting,"90,000",48.1,-102.4,0," 9,815 ",0, 1.9 , 27.0 
128953155,Continental,"128,000",48.1,-102.6,1," 11,456 ",1, 2.2 , 287.4 
128275263,Hess,"111,000",47.6,-103.0,1," 9,434 ",0, 1.8 , 47.1 
128349302,Hess,"92,000",48.2,-102.8,1," 9,113 ",0, 1.8 , 29.5 
128261376,Whiting,"60,000",48.1,-102.6,0," 9,490 ",0, 1.9 , 28.3 
128561685,Hess,"80,000",48.2,-102.7,0," 9,266 ",0, 1.8 , 34.2 
129071336,Oasis,"131,000",48.1,-102.6,1," 9,503 ",0, 1.9 , 47.6 
128801340,Hess,"117,000",47.8,-103.4,1," 10,055 ",0, 2.0 , 36.2 
128199659,Whiting,"49,000",48.1,-102.4,0," 8,190 ",0, 1.6 , 24.1 
128562339,Hess,"98,000",48.2,-102.7,1," 9,800 ",0, 1.9 , 40.1 
128275704,Hess,"83,000",47.6,-103.0,0," 8,528 ",0, 1.7 , 51.4 
128479357,Hess,"93,000",48.1,-103.3,1," 9,312 ",0, 1.8 , 35.7 
128226246,Enerplus,"106,000",47.6,-102.6,1," 9,655 ",0, 1.9 , 41.9 
128335682,Hess,"75,000",48.2,-102.7,1," 10,235 ",0, 2.0 , 33.4 
128562370,Hess,"68,000",48.2,-102.7,0," 9,541 ",0, 1.9 , 34.8 
129043188,Hess,"45,000",47.8,-103.4,0," 9,479 ",0, 1.9 , 45.9 
129027105,Hess,"104,000",48.2,-103.3,1," 9,986 ",0, 2.0 , 36.4 
129026988,Hess,"120,000",47.8,-103.4,1," 9,924 ",1, 2.0 , 40.9 
128497276,Hess,"60,000",48.2,-102.6,0," 9,489 ",0, 1.9 , 47.1 
128261377,Whiting,"77,000",48.1,-102.5,1," 8,697 ",0, 1.7 , 40.6 
129014721,Hess,"144,000",47.8,-102.8,0," 10,567 ",0, 2.1 , 36.4 
128335744,Hess,"114,000",48.1,-103.3,1," 9,350 ",0, 1.9 , 33.4 
128261282,Hess,"107,000",48.2,-102.6,1," 10,220 ",0, 2.0 , 40.1 
128801834,Hess,"77,000",47.8,-103.4,1," 9,818 ",0, 2.0 , 36.1 
128243587,Whiting,"118,000",47.9,-103.4,0," 9,231 ",0, 1.8 , 41.5 
127828045,Whiting,"118,000",48.0,-102.5,1," 9,275 ",0, 1.9 , 25.4 
128997897,Hess,"153,000",48.0,-102.9,1," 10,928 ",0, 2.2 , 38.1 
128530608,Whiting,"99,000",48.1,-102.4,1," 8,983 ",0, 1.8 , 25.8 
128479892,Hess,"58,000",48.1,-103.3,0," 9,685 ",0, 2.0 , 52.0 
128349126,Hess,"38,000",48.3,-102.8,1," 9,060 ",0, 1.8 , 30.7 
128479621,Kaiser-Francis,"71,000",48.1,-102.6,1," 11,488 ",0, 2.3 , 33.4 
126829570,Sinclair,"11,000",47.6,-103.1,1," 9,508 ",0, 1.9 , 36.0 
128213026,XTO,"88,000",47.9,-103.4,1," 9,440 ",0, 1.9 , 43.4 
128497526,Hess,"84,000",48.3,-102.6,1," 9,958 ",0, 2.0 , 30.7 
128545102,Hess,"94,000",47.9,-102.9,1," 9,200 ",0, 1.9 , 34.1 
128545260,Whiting,"99,000",48.1,-102.4,1," 9,638 ",0, 2.0 , 26.7 
128593214,Hess,"147,000",48.2,-102.9,1," 9,914 ",0, 2.0 , 34.4 
128943878,Hess,"105,000",48.1,-102.6,0," 10,509 ",0, 2.1 , 39.3 
128593403,Hess,"139,000",48.2,-102.9,0," 9,914 ",0, 2.0 , 38.2 
128212957,Whiting,"64,000",48.2,-102.5,0," 9,729 ",0, 2.0 , 26.0 
128200029,Whiting,"64,000",48.1,-102.6,1," 7,839 ",0, 1.6 , 25.2 
128359883,ConocoPhillips,"98,000",48.0,-103.0,0," 9,383 ",0, 1.9 , 31.6 
128593344,Hess,"111,000",47.9,-102.9,0," 9,688 ",0, 2.0 , 35.1 
128944186,Oasis,"73,000",48.3,-103.7,1," 9,757 ",0, 2.0 , 61.7 
128335643,Hess,"119,000",48.1,-103.3,1," 9,227 ",0, 1.9 , 34.3 
128359589,WPX,"74,000",47.7,-102.5,1," 4,024 ",0, 0.8 , 32.1 
128349243,Hess,"43,000",48.3,-102.8,1," 9,398 ",0, 1.9 , 32.1 
128335420,Hess,"68,000",48.1,-103.3,0," 8,958 ",0, 1.8 , 32.3 
128562357,Hess,"72,000",48.2,-102.7,0," 9,120 ",0, 1.9 , 34.4 
128944210,Hess,"90,000",48.1,-102.6,1," 10,302 ",0, 2.1 , 36.4 
128629063,Hess,"112,000",47.6,-103.0,0," 9,545 ",0, 2.0 , 48.5 
128801767,Hess,"113,000",47.8,-103.4,1," 9,514 ",0, 2.0 , 36.4 
128561991,Whiting,"127,000",48.1,-102.4,1," 10,195 ",0, 2.1 , 29.4 
